CON|1111000013|20100326|IMLMM|FAX||DMTR|คุณเจียน  ส่งศรีจันทร์||||54300|25 ม.16|ต.เขาวิเศษ อ.วังวิเศษ|จ.ตรัง|92220|TH||||||||||||3920700171611|||0020583|ธนาคารกรุงเทพ สาขาย่อยพระราม 6 ตรัง|5830106406||||||||0001120001|||CDF||||||||||||
CON|1111000061|20100628|IMLMM|FAX||DMTR|การไฟฟ้านครหลวง||||DOMESTIC|30  ซอยชิดลม  ถนนเพลินจิต|แขวงลุมพินี  เขตปทุมวัน|กทม.|10330|TH|||||||||||||4102030255||||||||||||0001120001|||CDF||||||||||||
CON|1111000069|20100326|IMLMM|FAX||DMTR|ตลาดหลักทรัพย์แห่งประเทศไทย||||DOMESTIC|62 ถ.รัชดาภิเษก|แขวงคลองเตย เขตคลองเตย|กรุงเทพฯ|10110|TH|||||||||||||4107031004||||||||||||0001120001|||CDF||||||||||||
CON|1111000120|20100326|IMLMM|FAX||DMTR|คุณเทียน  ธีระกนก||||54300|311-315 ม.2|ต.ในเมือง อ.บ้านไผ่|จ.ขอนแก่น|40110|TH||||||||||||3409700076157|||0020370|ธนาคารกรุงเทพ สาขาบ้านไผ่|3700218302|คุณเทียน  ธีระกนก|||||||0001120001|||CDFM||||||||||||
CON|1111000129|20100326|IMLMM|FAX||DMTR|บจก.ศรีราชาเทพประทาน สาขา1||||54300|135/99 ถ.สุขุมวิท|ต.ศรีราชา อ.ศรีราชา|จ.ชลบุรี|20110|TH||038-494201-9|||038-400600||||||||3201004501||0250086|ธนาคารกรุงศรีอยุธยา จำกัด สาขาศรีราชา|0860015654||||||||0001120001|||CDFM||||||||||||
CON|1111000173|20100326|IMLMM|FAX||DMTR|บจก.อาคารกรุงเทพธุรกิจ (1987)||||54300|54 ซ.อโศก ถ.สุขมวิท 21 (อโศก)|แขวงคลองเตยเหนือ เขตวัฒนา|กทม.|10110|TH||0-2259-3281-4|||||||||||3101486322||0150031|ธนาคารนครหลวงไทย จำกัด (มหาชน) สาขาอโศก|0312090677||||||||0001120001|||CDFM||||||||||||
CON|1111000201|20100326|IMLMM|FAX||DMTR|บริษัท สยามแม็คโคร จำกัด (มหาชน)||||54300|189 ถ.พหลโยธิน|ต.ประชาธิปัตย์ อ.ธัญบุรี|จ.ปทุมธานี|12130|TH|||||||||||||3101522846||||||||||||0001120001|||CDF||||||||||||
CON|1111000219|20100326|IMLMM|FAX||DMTR|บริษัท สยามแม็คโคร จำกัด (มหาชน)||||54300|40/8 ม.10|แขวงบางบอน เขตบางบอน|กทม.|10150|TH||0-2375-70001666|||||||||||3101522846||||||||||||0001120001|||CDF||||||||||||
CON|1111000254|20100525|IMLMM|FAX||DMTR|บริษัท บิซิฟอร์ม โปรดักส์ จำกัด||||STA|867/13-14 ซ.ลาดพร้าว 3 ถ.ลาดพร้าว|แขวงจอมพล เขตจตุจักร|กทม.|10900|TH||0-29380237-8|0-2513-4161||025124616|busiform_pro@yahoo.com|||||||3011140819||0040752|ธนาคารกสิกรไทย สาขาลาดพร้าว10|7521000303|บริษัท บิซิฟอร์ม โปรดักส์ จำกัด|||||||0001120001|||CDM||||||||||||
CON|1111000257|20100326|IMLMM|FAX||DMTR|บจก.โรงแรมบางกอกคลาสสิค||||54300|92 ซ.แสงแจ่ม ถ.ริมคลองบางกะปิ|แขวงบางกะปิ เขตห้วยขวาง|กทม.|10320|TH||02 641-4777|02 641-4888||02 641-4884-5||||||||3011143728||||||||||||0001120001|||CDF||||||||||||
