TRE|AIS|แหลมทองโฮเต็ล|010603|0002|RO|310505||GSM|SR|MACRO|20030601|20050531|1111009042|0000054300|จ.สงขลา||12|12|0.00|0.00|276000.00|11500.00|0.00|0.00|0.00||00000000|09|0000000011500|00|0000000000000|20021201|138000.00|0.00|6900.00|0.00|0.00|0.00|276000.00|0.00|0.00|05|00|03
TRE|AIS|วังคัน|1111016810|0000|RO|1111016810||GSM|WR|MACRO|20021215|20051214|1111016810|0000054300|จ.สุพรรณบุรี||12|12|0.00|0.00|120000.00|3333.33|3508.77|0.00|0.00||00000000|08|0000000003509|00|0000000000000|20021215|42105.26|0.00|2105.26|0.00|0.00|0.00|120000.00|0.00|0.00|39|00|36
TCS|AIS|บางกอกใหญ่|BKK 060|0001|RO|BKK 060||GSM|BKK|MACRO|20021201|20051130|1111006110|0000053160|กรุงเทพ||12|12|0.00|0.00|801504.00|22264.00|0.00|0.00|0.00||00000000|08|0000000022264|00|0000000000000|20021201|267168.00|0.00|13358.40|0.00|534336.00|534336.00|267168.00|489808.00|423016.00|05|02|02
PRO|AIS|บางกอกใหญ่|BKK 060|0003|RO|BKK 060||GSM|BKK|MACRO|20021201|20051130|1111006110|0000053160|กรุงเทพ||12|12|0.00|0.00|801504.00|22264.00|0.00|0.00|0.00|Modify sub-contract from :01|00000000|08|0000000022264|00|0000000000000|20021201|267168.00|0.00|13358.40|0.00|267168.00|267168.00|534336.00|244904.00|445280.00|32|01|29
TCS|AIS|งามดูพลี|BKK 062|0001|RO|BKK 062||GSM|BKK|MACRO|20021201|20051130|1111006139|0000054300|กรุงเทพ||00|00|0.00|0.00|931392.00|25872.00|0.00|0.00|0.00||00000000|09|0000000025872|00|0000000000000|20021201|25782.00|0.00|1293.60|0.00|0.00|0.00|931392.00|0.00|0.00|30|00|00
TRN|AIS|งามดูพลี|BKK 062|0002|RO|BKK 062||GSM|BKK|MACRO|20021201|20051130|1111006139|0000053160|กทม.||00|00|0.00|0.00|931392.00|25872.00|0.00|0.00|0.00||00000000|09|0000000025872|00|0000000000000|20021201|25872.00|0.00|1293.60|0.00|0.00|0.00|931392.00|0.00|0.00|23|00|00
TRN|AIS|งามดูพลี|BKK 062|0003|RO|BKK 062||GSM|BKK|MACRO|20021201|20051130|1111006139|0000054300|กรุงเทพ||00|00|0.00|0.00|931392.00|25872.00|0.00|0.00|0.00|Modify sub-contract from :01|00000000|09|0000000025872|00|0000000000000|20021201|25782.00|0.00|1293.60|0.00|0.00|0.00|931392.00|0.00|0.00|09|00|00
TCS|AIS|สีลม 2|BKK 104|0001|RO|BKK 104||GSM|BKK|MACRO|20030101|20031231|1111002866|0000053160|กทม.||00|00|0.00|0.00|312000.00|26000.00|0.00|0.00|0.00||00000000|09|0000000026000|00|0000000000000|20030102|26000.00|0.00|1300.00|0.00|0.00|0.00|312000.00|0.00|0.00|36|00|00
TCS|AIS|อาคารศรีวรจักร|BKK 1216|0001|RO|BKK 1216||GSM|BKK|MACRO|20021101|20040731|1111012343|0000053160|กทม.||00|00|0.00|0.00|86100.00|4100.00|4315.79|0.00|0.00||00000000|09|0000000004316|00|0000000000000|20021201|4315.79|0.00|215.79|0.00|30210.53|30210.53|55889.47|0.00|0.00|07|07|00
TCS|AIS|วัดโพธิ์เรียง|BKK 1295|0001|RO|BKK 1295||GSM|BKK|MACRO|20021101|20040930|1111012993|0000053160|กทม.||00|00|0.00|0.00|69000.00|3000.00|3157.89|0.00|0.00||00000000|08|0000000003158|00|0000000000000|20021201|0.00|0.00|0.00|0.00|25263.12|25263.12|43736.88|0.00|0.00|08|08|00
