TRN|AIS|เซ็นทรัล แกรนด์ พลาซ่า|1111000652|0000|RO|1111000652||GSM|BKK|PICO|20030716|20040715|1111000652|0000053160|กรุงเทพ||12|12|0.00|0.00|198375.00|16531.25|0.00|0.00|0.00||00000000|09|0000000016531|00|0000000000000|20030715|198375.00|0.00|9918.75|0.00|0.00|0.00|198375.00|0.00|0.00|31|00|30
TRE|AIS|โลตัส ฟอร์จูนทาวเวอร์|1111001726|0006|MO|1111001726||GSM|BKK|PICO|20030818|20030818|1111001726|0000053160|กรุงเทพ||00|00|0.00|0.00|8300.00|8300.00|0.00|0.00|0.00||00000000|09|0000000008300|00|0000000000000|20030801|8300.00|0.00|415.00|0.00|0.00|0.00|8300.00|0.00|0.00|36|00|00
TRN|AIS|เทสโก้โลตัส สุพรรณบุรี|1111003718|0000|RO|1111003718||GSM|WR|PICO|20020101|20041231|1111003718|0000054300|สุพรรณบุรี||01|00|0.00|0.00|11.00|11.00|0.00|11.00|0.00||00000000|00|0000000000000|00|0000000000000|20030601|0.00|0.00|0.00|0.00|0.00|0.00|11.00|0.00|0.00|03|00|00
TRN|AIS|ถนน กม.11|1111006861|0001|RO|1111006861||GSM|BKK|MACRO|20030301|20060228|1111006861|0000054130|กทม.||00|00|0.00|0.00|594000.00|16500.00|0.00|0.00|0.00||00000000|08|0000000016500|00|0000000000000|20030301|16500.00|0.00|825.00|0.00|0.00|0.00|594000.00|0.00|0.00|13|00|00
TRE|AIS|บางลำพู 1|1111007714|0000|MO|1111007714||GSM|BKK|MACRO|20030207|20030207|1111007714|0000054130|กทม.||00|00|0.00|0.00|66412.50|66412.50|69907.89|0.00|0.00||00000000|08|0000000069908|00|0000000000000|20030207|69907.89|0.00|3495.39|0.00|0.00|0.00|66412.50|0.00|0.00|25|00|00
TCS|AIS|รัตนาธิเบศร์(วัดน้อยนอก)|BKK 003|0001|MO|BKK 003||GSM|BKK|MACRO|20010401|20040430|1111007212|0000053160|นนทบุรี||36|00|0.00|0.00|60000.00|1666.67|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20030401|60000.00|0.00|0.00|0.00|0.00|0.00|60000.00|0.00|0.00|38|00|00
PRO|AIS|รัตนาธิเบศร์(วัดน้อยนอก)|BKK 003|0002|MO|BKK 003||GSM|BKK|MACRO|20010401|20040430|1111007212|0000053160|นนทบุรี||36|00|0.00|0.00|60000.00|1666.67|0.00|0.00|0.00|Modify sub-contract from :01|00000000|00|0000000000000|00|0000000000000|20030401|60000.00|0.00|0.00|0.00|60000.00|60000.00|0.00|18333.25|0.12|12|01|00
TRN|AIS|เยาวราช 1|BKK 004|0000|RO|BKK 004||GSM|BKK|MACRO|20010416|20040415|1111001798|0000053160|กรุงเทพมหานคร||00|00|80000.00|0.00|1656000.00|46000.00|0.00|0.00|0.00||00000000|09|0000000046000|00|0000000000000|20030215|46000.00|0.00|2300.00|0.00|0.00|0.00|1656000.00|0.00|0.00|03|00|00
PRO|AIS|รามคำแหง 1|BKK 005|0000|RO|BKK 005||GSM|BKK|MACRO|20000509|20040508|1111008254|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|1190250.00|33062.50|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20030501|396750.00|0.00|0.00|0.00|396750.00|396750.00|793500.00|396750.00|66125.00|15|01|11
PRO|AIS|รามคำแหง1|BKK 005|0002|RO|BKK 005||GSM|BKK|MACRO|20030509|20030908|1111008254|0000053160|กรุงเทพมหานคร||04|00|0.00|0.00|132250.00|33062.50|0.00|0.00|0.00|ค่าเช่าช่วงรื้อถอน 4 เดือน|00000000|00|0000000033063|00|0000000000000|20030901|132250.00|0.00|0.00|0.00|0.00|0.00|132250.00|0.00|0.00|24|00|00
