PRO|AIS|ท่าพระ 1|BKK 008|0005|MO|101185||GSM|BKK|MACRO|20050425|20050425|1111005642|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|32062.50|32062.50|33750.00|0.00|0.00||00000000|09|0000000033750|00|0000000000000|20050425|33750.00|0.00|1687.50|0.00|33750.00|33750.00|1687.50|0.00|0.00|01|01|00
TRN|AIS|รามอินทรา 2|BKK 010|0000|RO|BKK 010||GSM|BKK|MACRO|20010701|20040630|1111008323|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|1428300.00|39675.00|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000|20030701|476100.00|0.00|0.00|0.00|952200.00|952200.00|476100.00|912525.00|476100.00|13|02|10
PRO|AIS|รามอินทรา 2|BKK 010|0004|MO|101119||GSM|BKK|MACRO|20050608|20050608|1111008323|0000053160|กรุงเทพมหานคร|กรุงเทพมหานคร|00|00|0.00|0.00|112987.00|112987.00|0.00|0.00|0.00||00000000|00|0000000112987|00|0000000000000|20050608|112987.00|0.00|0.00|0.00|112987.00|112987.00|0.00|0.00|0.00|01|01|00
TRN|AIS|เสนานิคม 1(เช่าห้องชุด)|BKK 012.1|0000|RO|BKK 012.1||GSM|BKK|MACRO|20010101|20020806|1111008451|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|828000.00|23000.00|0.00|0.00|0.00||00000000|00|0000000000000|00|0000000000000||276000.00|0.00|0.00|0.00|0.00|0.00|828000.00|0.00|138000.00|06|00|04
PRO|AIS|เวชศาสตร์เขตร้อน|BKK 015|0005|RO|101003||GSM|BKK|MACRO|20051103|20071102|1111005856|0000053160|กรุงเทพมหานคร||12|12|0.00|0.00|345000.00|14375.00|0.00|0.00|0.00||00000000|00|0000000014375|00|0000000000000|20051103|172500.00|0.00|0.00|0.00|345000.00|345000.00|0.00|316250.00|0.00|24|02|00
PRO|AIS|สะพานพระราม 7|BKK 016|0001|RO|106011||GSM|BKK|MACRO|20051116|20081115|1111002847|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|1260000.00|35000.00|0.00|0.00|0.00||00000000|09|0000000035000|00|0000000000000|20051116|35000.00|0.00|1750.00|0.00|315000.00|315000.00|945000.00|0.00|0.00|08|08|00
PRO|AIS|ประชาชื่น|BKK 019|0006|MO|101112||GSM|BKK|MACRO|20050811|20050811|1111000641|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|56625.42|56625.42|59605.71|0.00|0.00||00000000|09|0000000059606|00|0000000000000|20050811|59605.71|0.00|2980.29|0.00|59605.71|59605.71|2980.29|0.00|0.00|01|01|00
PRO|AIS|ประชาชื่น|BKK 019|0007|MO|101112||GSM|BKK|MACRO|20050831|20050831|1111000641|0000053160|กรุงเทพมหานคร||00|00|67500.00|0.00|2980.29|2980.29|3137.15|0.00|0.00||00000000|08|0000000003137|00|0000000000000|20050831|3137.15|0.00|156.86|0.00|3137.15|3137.15|156.86|0.00|0.00|01|01|00
TRE|AIS|มาบุญครอง|BKK 023|0003|RO|101076||GSM|BKK|MACRO|20050401|20060331|1211000325|0000053160|กรุงเทพมหานคร||00|00|0.00|0.00|332640.00|27720.00|0.00|0.00|0.00||00000000|09|0000000027720|00|0000000000000|20050401|27720.00|0.00|1386.00|0.00|336600.00|336600.00|3960.00|0.00|0.00|13|13|00
NEW|AIS|มาบุญครอง|BKK 023|0005|RO|101076||GSM|BKK|MACRO|20050401|20060331|1211000325|0000053160|กรุงเทพมหานคร||00|00|3960.00|0.00|332640.00|27720.00|0.00|0.00|0.00||00000000|09|0000000027720|00|0000000000000|20050401|27720.00|0.00|1386.00|0.00|0.00|0.00|332640.00|0.00|0.00|36|00|00
