H|FAX|FBKK 036|0001|RO|101779|KR|FBKK 036  /0001|101779|20101001|20101001|FL00|THB||1111012993|25317.42|5300002325|2010|9200002096|2010|20101001|8781486
H|FAX|FBKK 036|0001|RO|101779|KR|FBKK 036  /0001|101779|20101101|20101101|FL00|THB||1111012993|25317.42|5300003037|2010||0000|00000000|
H|FAX|FBKK 040|0001|RO|101860|KR|FBKK 040  /0001|101860|20101001|20101001|FL00|THB||1111012241|120000.00|5300002424|2010|9200002192|2010|20101001|8783581
H|FAX|FBKK 041|0001|RO|101626|KR|FBKK 041  /0001|101626|20100901|20100901|FL00|THB||1111012929|16577.16|5300002245|2010|9200001999|2010|20100915|8776564
H|FAX|FBKK 041|0001|RO|101626|KR|FBKK 041  /0001|101626|20101001|20101001|FL00|THB||1111012929|16577.16|5300002560|2010|9200002694|2010|20101027|4345522
H|FAX|FBKK 041|0001|RO|101626|KR|FBKK 041  /0001|101626|20101101|20101101|FL00|THB||1111012929|16577.16|5300003029|2010|9200002971|2010|20101115|
H|FAX|FBKK 044|0001|RO|106080|KR|FBKK 044  /0001|106080|20100901|20100901|FL00|THB||1111012483|217800.00|5300001727|2010|9200001478|2010|20100901|8759613
H|FAX|FBKK 045|0001|RO|101001|KR|FBKK 045  /0001|101001|20101001|20101001|FL00|THB||1111016703|381876.00|5300002425|2010|9200002194|2010|20101001|8783583
H|FAX|FBKK 060|0001|RO|107082|KR|FBKK 060  /0001|107082|20100901|20100901|FL00|THB||1111012759|26620.00|5300001744|2010|9200001480|2010|20100901|8759615
H|FAX|FBKK 060|0001|RO|107082|KR|FBKK 060  /0001|107082|20101001|20101001|FL00|THB||1111012759|26620.00|5300002538|2010|9200002434|2010|20101012|
H|FAX|FBKK 060|0001|RO|107082|KR|FBKK 060  /0001|107082|20101101|20101101|FL00|THB||1111012759|26620.00|5300003007|2010|9200002747|2010|20101101|
H|FAX|FBKK 088|0001|RO|108269|KR|FBKK 088  /0001|108269|20100901|20100901|FL00|THB||1111039559|84210.53|5300002246|2010|9200002003|2010|20100915|8776568
H|FAX|FBKK 097|0001|RO|107074|KR|FBKK 097  /0001|107074|20100901|20100901|FL00|THB||1111041293|69473.68|5300001728|2010|9200001481|2010|20100901|8759616
H|FAX|FBKK 142|0001|RO|101855|KR|FBKK 142  /0001|101855|20100801|20100801|FL00|THB||1111032094|229263.16|5300001488|2010|9200001200|2010|20100802|4250098
H|FAX|FBKK 143|0001|RO|108255|KR|FBKK 143  /0001|108255|20100701|20100701|FL00|THB||1111031969|15000.00|5300001471|2010|9200001198|2010|20100802|4250096
H|FAX|FBKK 143|0001|RO|108255|KR|FBKK 143  /0001|108255|20100815|20100815|FL00|THB||1111031969|15000.00|5300001484|2010|9200001460|2010|20100816|
H|FAX|FBKK 143|0001|RO|108255|KR|FBKK 143  /0001|108255|20100915|20100915|FL00|THB||1111031969|15000.00|5300001730|2010|9200001976|2010|20100915|
H|FAX|FBKK 143|0001|RO|108255|KR|FBKK 143  /0001|108255|20101015|20101015|FL00|THB||1111031969|15000.00|5300002524|2010|9200002579|2010|20101015|
